field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Radial Deviation (degrees) (>1 year),16.7,inferred,,5,589,503,622,511
Ulnar Deviation (degrees) (Before),5.7,found,,5,313,522,352,530
Ulnar Deviation (degrees) (3 months),,not_found,NULL,0,0,0,0,0
Ulnar Deviation (degrees) (6 months),,not_found,NULL,0,0,0,0,0
Ulnar Deviation (degrees) (1 year),,not_found,NULL,0,0,0,0,0
Ulnar Deviation (degrees) (>1 year),22.9,inferred,,5,589,522,622,530
Grip Strength (percent) (Before),29.9,found,,5,313,444,352,453
Grip Strength (percent) (3 months),,not_found,NULL,0,0,0,0,0
Grip Strength (percent) (6 months),,not_found,NULL,0,0,0,0,0
Grip Strength (percent) (1 year),,not_found,NULL,0,0,0,0,0
Grip Strength (percent) (>1 year),47.3,inferred,,5,589,444,622,453
Radial inclination (degrees) (Before),10,found,,6,313,140,352,149
Radial inclination (degrees) (After),18.9,inferred,,6,313,149,352,158
Dorsal angulation (degrees) (Before),,not_found,NULL,0,0,0,0,0
Dorsal angulation (degrees) (After),,not_found,NULL,0,0,0,0,0
Ulnar variance (millimeters) (Before),4,found,,6,313,169,352,177
Ulnar variance (millimeters) (After),0,inferred,,6,313,178,352,186
Summary of Findings,"This study shows that corrective open wedge osteotomy fixed by a volar locked plate, without bone grafting, provides a high rate of union and satisfactory functional outcomes for malunited dorsally-angulated extra-articular distal radial fractures.",inferred,Inferred from the abstract section of the document in the absence of a specific 'Summary of Findings' section.,1,305,334,799,389
