field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Pronation (degrees) (>1 year),75.0,found,"Data corresponds to ""Postoperative"" which means after at least one year follow-up.",4,668,786,691,796
Radial Deviation (degrees) (Before),23.0,found,,3,562,542,586,551
Radial Deviation (degrees) (3 months),,not_found,,1,0,0,0,0
Radial Deviation (degrees) (6 months),,not_found,,1,0,0,0,0
Radial Deviation (degrees) (1 year),,not_found,,1,0,0,0,0
Radial Deviation (degrees) (>1 year),19.0,inferred,,4,634,875,662,883
Ulnar Deviation (degrees) (Before),23.0,inferred,,3,709,639,716,647
Ulnar Deviation (degrees) (3 months),,not_found,,1,0,0,0,0
Ulnar Deviation (degrees) (6 months),,not_found,,1,0,0,0,0
Ulnar Deviation (degrees) (1 year),,not_found,,1,0,0,0,0
Ulnar Deviation (degrees) (>1 year),36.0,inferred,,4,634,850,662,858
Grip Strength (percent) (Before),0.74,inferred,,4,639,899,673,907
Grip Strength (percent) (3 months),,not_found,,1,0,0,0,0
Grip Strength (percent) (6 months),,not_found,,1,0,0,0,0
Grip Strength (percent) (1 year),,not_found,,1,0,0,0,0
Grip Strength (percent) (>1 year),0.92,inferred,,4,639,899,673,907
Radial inclination (degrees) (Before),16.0,inferred,,4,371,597,381,605
Radial inclination (degrees) (After),26.0,inferred,,4,366,640,371,648
Dorsal angulation (degrees) (Before),22.0,inferred,,4,371,597,381,605
Dorsal angulation (degrees) (After),7.0,inferred,,4,366,640,371,648
Ulnar variance (millimeters) (Before),1.89,inferred,,4,354,597,381,605
Ulnar variance (millimeters) (After),-0.23,inferred,,4,348,640,371,648
Summary of Findings,This study compared dorsal and palmar approaches for distal radius malunion osteotomy. Both methods effectively corrected malunions. Palmar approach resulted in better wrist flexion and less hardware removal.,inferred,Inferred from the abstract to meet the 30-word limit as findings are not summarized.,1,0,0,0,0
